Company Name,Headquarters,Size,Type of ownership,Industry,Sector
UCLA Extension,"Los Angeles, CA",201 to 500 employees,College / University,Colleges & Universities,Education
"Internet Brands, Inc.","El Segundo, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
TutorMe,"Los Angeles, CA",51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,Education
Los Angeles County,"Los Angeles, CA",10000+ employees,Government,Municipal Governments,Government
"iSpace, Inc","El Segundo, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Kite Pharma,"Santa Monica, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
City National Bank,"Los Angeles, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
The Wonderful Company,"Los Angeles, CA",5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
Apex Systems,"Glen Allen, VA",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
"ConsultNet, LLC","South Jordan, UT",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
UCLA Health,"Los Angeles, CA",5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Scale Media,"Sherman Oaks, CA",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
JM Eagle,"Los Angeles, CA",1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing
Tillster,"San Diego, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Center For Policing Equity,"New York, NY",51 to 200 employees,Nonprofit Organization,Colleges & Universities,Education
Galvanize,"Denver, CO",201 to 500 employees,Company - Private,Education Training Services,Education
UC Davis Medical Center,"Sacramento, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Swinerton Builders,"San Francisco, CA",1001 to 5000 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
UtopiaCompression Corporation,"Los Angeles, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
ServiceTitan,"Glendale, CA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology
Icon Media Direct,"Van Nuys, CA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Kairos Technologies,"Irving, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Robert Half,"Menlo Park, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Casting Networks,"Los Angeles, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Icon Media Direct, Inc.","Van Nuys, CA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Arete Associates Inc,"Rolling Meadows, IL",51 to 200 employees,Company - Private,IT Services,Information Technology
Direct Agents,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Computershare,"Melbourne, Australia",10000+ employees,Company - Public,Financial Transaction Processing,Finance
Eleven Recruiting - CHURN,"Los Angeles, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
DatamanUSA,"Centennial, CO",51 to 200 employees,Company - Private,IT Services,Information Technology
"GenapSys, Inc.","Redwood City, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Thermo Fisher Scientific,"Waltham, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
ProSearch Strategies,"Los Angeles, CA",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Prosum,"El Segundo, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
"Dave, Inc.","Los Angeles, CA",1 to 50 employees,Company - Private,Banks & Credit Unions,Finance
Analog Devices,"Norwood, MA",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
ICONMA,"Troy, MI",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
MyLife.com,"Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
PlayQ,"Santa Monica, CA",51 to 200 employees,Company - Private,Video Games,Media
EvolvInc,"Los Angeles, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
Agilisium LLC,"Westlake Village, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Activision Publishing,"Santa Monica, CA",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
TVGla,"Los Angeles, CA",51 to 200 employees,Company - Private,Motion Picture Production & Distribution,Media
BayOne Solutions,"Pleasanton, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Epiq,"New York, NY",5001 to 10000 employees,Company - Private,Legal,Accounting & Legal
Systech Business Solutions,"Glendale, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Unilever,"London, United Kingdom",10000+ employees,Company - Public,Consumer Products Manufacturing,Manufacturing
Kaiser Permanente,"Oakland, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Molina Healthcare,"Long Beach, CA",10000+ employees,Company - Public,Insurance Carriers,Insurance
Tripalink,"Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate
BioDiscovery Inc,"El Segundo, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Eurofins Scientific,"Luxembourg, Luxembourg",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Arize Corporation,"New York, NY",201 to 500 employees,Company - Private,Publishing,Media
Eurofins USA Environment Testing,"Quebec, Canada",201 to 500 employees,Company - Private,Farm Support Services,Agriculture & Forestry
TrueCar,"Santa Monica, CA",501 to 1000 employees,Company - Public,Internet,Information Technology
Exponent,"Menlo Park, CA",1001 to 5000 employees,Company - Public,Consulting,Business Services
Yorke Engineering,"New York, NY",10000+ employees,College / University,Colleges & Universities,Education
Farmers & Merchants Bank,"Long Beach, CA",501 to 1000 employees,Company - Public,Investment Banking & Asset Management,Finance
NxT Level,"Tacoma, WA",1 to 50 employees,Company - Private,IT Services,Information Technology
Cypress HCM,"Walnut Creek, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
CSL Behring,"King of Prussia, PA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Odesus,"Los Angeles, CA",51 to 200 employees,Company - Private,Consulting,Business Services
"Tetra Tech, Inc.","Pasadena, CA",10000+ employees,Company - Public,Architectural & Engineering Services,Business Services
Nasa Jet Propulsion Laboratory,"Pasadena, CA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government
Blue Shield of California,"Oakland, CA",5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Stamps.com,"El Segundo, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
NortonLifeLock,"Tempe, AZ",1001 to 5000 employees,Company - Public,Internet,Information Technology
U.S. Air Force,"Washington, DC",10000+ employees,Government,Federal Agencies,Government
AIDS Healthcare Foundation,"Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Camden Kelly Corporation,"Dallas, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
"Integrated Resources, Inc","Edison, NJ",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Kforce,"Tampa, FL",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Oxford Road,"Los Angeles, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Warner Media LLC,"New York, NY",10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
Cadreon,"New York, NY",501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Perkinelmer,"Waltham, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Login Consulting Services,"El Segundo, CA",51 to 200 employees,Company - Private,Consulting,Business Services
Nikola Motor Company,"Phoenix, AZ",201 to 500 employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing
TransPerfect,"New York, NY",1001 to 5000 employees,Company - Private,Consulting,Business Services
Mobilityware,"Irvine, CA",51 to 200 employees,Company - Private,Video Games,Media
Riot Games,"Los Angeles, CA",1001 to 5000 employees,Company - Private,Video Games,Media
"EMINENT, INC.","Williamsville, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
California Hospital Medical Center,"San Francisco, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
DISQO,"Glendale, CA",51 to 200 employees,Company - Private,Research & Development,Business Services
SCAN Health Plan,"Long Beach, CA",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Frontier Communications,"Norwalk, CT",10000+ employees,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications
"Aviana Global Technologies, Inc","Brea, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
FabFitFun,"Los Angeles, CA",201 to 500 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Farmers Insurance,"Woodland Hills, CA",10000+ employees,Subsidiary or Business Segment,Insurance Carriers,Insurance
Techstyle Group LLC,"Hayward, CA",51 to 200 employees,Company - Private,Industrial Manufacturing,Manufacturing
Akraya Inc.,"Santa Clara, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Retention Science,"Santa Monica, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Resource Logistics, Inc.","Edison, NJ",51 to 200 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Advantage Resourcing,"Cincinnati, OH",10000+ employees,Company - Private,Staffing & Outsourcing,Business Services
The Loot Company,"Los Angeles, CA",201 to 500 employees,Company - Private,Other Retail Stores,Retail
Age of Learning,"Glendale, CA",501 to 1000 employees,Company - Private,K-12 Education,Education
AHMC Healthcare,"Alhambra, CA",5001 to 10000 employees,Company - Private,Health Care Services & Hospitals,Health Care
LetsGetChecked,"New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Covance,"Burlington, NC",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
XSELL Technologies,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Wolverine Trading,"Chicago, IL",201 to 500 employees,Company - Private,Investment Banking & Asset Management,Finance
Relativity,"Chicago, IL",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Magnetar Capital,"Evanston, IL",201 to 500 employees,Company - Private,Investment Banking & Asset Management,Finance
Wintrust Financial,"Rosemont, IL",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
The Climate Corporation,"San Francisco, CA",501 to 1000 employees,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology
Strike Social,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Balyasny Asset Management,"Chicago, IL",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance
Cboe Global Markets,"Chicago, IL",501 to 1000 employees,Company - Public,Stock Exchanges,Finance
"SPINS, LLC","Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services
Sagence,"Chicago, IL",1 to 50 employees,Company - Private,Consulting,Business Services
Uptake,"Chicago, IL",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology
NCSA - Next College Student Athlete,"Chicago, IL",501 to 1000 employees,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation"
Waystar,"Duluth, GA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Goodway Group,"Jenkintown, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Kalderos,"Chicago, IL",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
